,name,location,price_for_two,cuisines,rating,restaurant_link
230,Lifetree,"Richmond Road, Bangalore",1700,"North Indian, Continental, Pizza, Fast Food, Biryani, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/lifetree-richmond-road-bangalore/info
231,The Reservoire,"Koramangala 5th Block, Bangalore",2000,"North Indian, Biryani, Asian, Italian, Continental, Bar Food, Desserts, Beverages",4.4,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/info
232,Brooks And Bonds Brewery,"Koramangala 5th Block, Bangalore",2000,"Continental, American, North Indian, Italian, Fast Food, Beverages, Desserts",4.2,https://www.zomato.com/bangalore/brooks-and-bonds-brewery-koramangala-5th-block-bangalore/info
233,Xochi Bar And Kitchen,"Bellandur, Bangalore",2500,"Asian, North Indian, Continental",4.5,https://www.zomato.com/bangalore/xochi-bar-and-kitchen-bellandur-bangalore/info
234,Stegi - Modern Indian,"Jayanagar, Bangalore",1400,"North Indian, Italian, Fast Food, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/stegi-modern-indian-jayanagar-bangalore/info
235,Full Circle,"Rajarajeshwari Nagar, Bangalore",1504,North Indian,4.1,https://www.zomato.com/bangalore/full-circle-rajarajeshwari-nagar-bangalore/info
236,Down Town Tap Room,"Brigade Road, Bangalore",1700,"Continental, Pizza, Burger, Fast Food, Biryani, Desserts, Bar Food, Beverages",4.6,https://www.zomato.com/bangalore/down-town-tap-room-1-brigade-road-bangalore/info
237,Indigo XP,"Koramangala 5th Block, Bangalore",2000,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani",4.0,https://www.zomato.com/bangalore/indigo-xp-koramangala-5th-block/info
238,House Of Commons,"HSR, Bangalore",1200,"Bar Food, Fast Food, North Indian, Continental, Seafood, Italian, Chinese, Desserts",4.5,https://www.zomato.com/bangalore/house-of-commons-hsr-bangalore/info
239,Chianti,"Forum Falcon City Mall, Kanakapura Roaad, Bangalore",1800,"Italian, Pizza, Pasta, Desserts",4.9,https://www.zomato.com/bangalore/chianti-kanakapura-road-bangalore/info
240,Grill Daddy,"Kalyan Nagar, Bangalore",1100,"Continental, Pizza, Burger, Sandwich, Steak, Desserts, Shake, Beverages",4.2,https://www.zomato.com/bangalore/grill-daddy-kalyan-nagar-bangalore/info
241,Mannheim Craft Brewery,"Garuda Mall, Magrath Road, Bangalore",1500,"South Indian, North Indian, Continental, Desserts, Asian",4.4,https://www.zomato.com/bangalore/mannheim-craft-brewery-brigade-road-bangalore/info
242,Babai Tiffins,"Sarjapur Road, Bangalore",150,South Indian,4.0,https://www.zomato.com/bangalore/babai-tiffins-sarjapur-road-bangalore/info
243,Kling Brewery,"Church Street, Bangalore",1500,"Continental, European, Asian, Chinese, North Indian, South Indian, Seafood",4.2,https://www.zomato.com/bangalore/kling-brewery-church-street-bangalore/info
244,Drink & Dine,"SG Arcade, Bangalore",1700,"North Indian, Chinese, Mughlai, Sandwich, Burger, Pizza, Biryani, Desserts",4.2,https://www.zomato.com/bangalore/drink-dine-rajarajeshwari-nagar-bangalore/info
245,Maverick & Farmer Coffee,"Koramangala 4th Block, Bangalore",1000,"Cafe, Sandwich, Fast Food, Salad, Burger, Italian, Desserts, Beverages",3.9,https://www.zomato.com/bangalore/maverick-farmer-coffee-koramangala-4th-block-bangalore/info
246,2 Rabbits Bakes,"Koramangala 5th Block, Bangalore",600,"Bakery, Desserts",3.9,https://www.zomato.com/bangalore/2-rabbits-bakes-koramangala-5th-block-bangalore/info
247,Thela Tapri By Sharma's Kitchen,"BTM, Bangalore",250,"North Indian, Fast Food",3.9,https://www.zomato.com/bangalore/thela-tapri-by-sharmas-kitchen-btm-bangalore/info
248,Ishaara,"Phoenix Marketcity Bangalore, Whitefield, Bangalore",2500,"North Indian, Mughlai, Kebab, Biryani",4.5,https://www.zomato.com/bangalore/ishaara-kr-puram-bangalore/info
249,Proxy,"Marathahalli, Bangalore",1200,"Finger Food, Street Food, Pasta, Bar Food, Desserts",4.4,https://www.zomato.com/bangalore/proxy-marathahalli-bangalore/info
250,Horizon,"World Trade Center, Bangalore",3000,"Chinese, Japanese, Asian, Salad, Thai, Desserts, Beverages",4.4,https://www.zomato.com/bangalore/horizon-1-malleshwaram-bangalore/info
251,Don't Tell Mama,"HSR, Bangalore",2000,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani",3.9,https://www.zomato.com/bangalore/dont-tell-mama-1-hsr-bangalore/info
252,Shokudo,"Jayanagar, Bangalore",1500,"Japanese, Thai, Chinese, Asian, Sushi, Desserts, Beverages, Korean",4.1,https://www.zomato.com/bangalore/shokudo-jayanagar-bangalore/info
253,Kappa Chakka Kandhari,"Koramangala 6th Block, Bangalore",1800,"Kerala, South Indian, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/kappa-chakka-kandhari-koramangala-6th-block-bangalore/info
254,AB's - Absolute Barbecues,"Marathahalli, Bangalore",1850,"Biryani, BBQ, Kebab, North Indian, Desserts",4.5,https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli/info
255,MoMo Cafe - Courtyard By Marriott,"Courtyard & Fairfield by Marriott, Bangalore",2800,"North Indian, Asian, Fast Food, Continental, Italian, Desserts, Beverages",4.0,https://www.zomato.com/bangalore/momo-cafe-courtyard-by-marriott-bellandur-bangalore/info
256,Chai Point,"Church Street, Bangalore",250,"Tea, Coffee, Beverages, Shake, Fast Food, Rolls, Desserts, Cafe",4.1,https://www.zomato.com/bangalore/chai-point-church-street-bangalore/info
257,Gatsby,"Bannerghatta Road, Bangalore",2500,"Finger Food, Healthy Food, North Indian, Asian, Sushi, Chinese, South Indian, Pizza",4.4,https://www.zomato.com/bangalore/gatsby-bannerghatta-road-bangalore/info
258,Hangover Brewery,"Koramangala 7th Block, Bangalore",2000,"Continental, North Indian, Chinese, Finger Food, Burger, Pizza, Desserts",4.0,https://www.zomato.com/bangalore/hangover-brewery-koramangala-7th-block-bangalore/info
259,Gilly's Restobar,"Bannerghatta Road, Bangalore",2000,"North Indian, European, Bar Food, Italian, Fast Food, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/gillys-restobar-bannerghatta-road-bangalore/info
260,Celeb’s Restobar,"Brookefield, Bangalore",1300,Bar Food,4.3,https://www.zomato.com/bangalore/celebs-restobar-brookefield-bangalore/info
261,The Irish House,"RMZ Ecoworld, Bellandur, Bangalore",2000,"European, American, Italian, BBQ, Beverages, Desserts",4.2,https://www.zomato.com/bangalore/the-irish-house-bellandur/info
262,Dhaba - Estd 1986 Delhi,"Indiranagar, Bangalore",2500,"North Indian, Mughlai, Desserts, Paan",4.2,https://www.zomato.com/bangalore/dhaba-estd-1986-delhi-indiranagar-bangalore/info
263,21st Amendment Gastrobar,"Indiranagar, Bangalore",1700,"North Indian, Fast Food, Chinese, Bar Food, Sichuan, Beverages",4.3,https://www.zomato.com/bangalore/21st-amendment-gastrobar-indiranagar-bangalore/info
264,Shelby Rooftop Taproom & Kitchen,"Nagarbhavi, Bangalore",1400,"Asian, North Indian",4.1,https://www.zomato.com/bangalore/shelby-rooftop-taproom-kitchen-nagarbhavi-bangalore/info
265,Shree Aahar,"HSR, Bangalore",500,"South Indian, North Indian, Chinese, Sandwich, Street Food",3.7,https://www.zomato.com/bangalore/shree-aahar-1-hsr-bangalore/info
266,Essence Of Kolkata,"Whitefield, Bangalore",650,"Bengali, Biryani, North Indian, Chinese, Mughlai, Beverages",3.4,https://www.zomato.com/bangalore/essence-of-kolkata-2-whitefield-bangalore/info
267,CTR Shri Sagar - Since 1920,"Malleshwaram, Bangalore",150,South Indian,4.7,https://www.zomato.com/bangalore/ctr-shri-sagar-since-1920-malleshwaram-bangalore/info
268,Rasotsav,"Forum Falcon City Mall, Kanakapura Roaad, Bangalore",1200,"Rajasthani, Gujarati, North Indian, Mithai",4.3,https://www.zomato.com/bangalore/rasotsav-kanakapura-road-bangalore/info
269,Chowki Multicuisine Restaurant,"Whitefield, Bangalore",700,"North Indian, Chinese, Seafood, Fast Food, Biryani, Sichuan, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/chowki-multicuisine-restaurant-whitefield-bangalore/info
270,Geist Brewing Co.,"Bhartiya Mall of Bengaluru, Bangalore",1800,"Continental, Italian, North Indian, South Indian, Bar Food, Beverages",New,https://www.zomato.com/bangalore/geist-brewing-co-jakkur-bangalore/info
271,Garden City Beer Collective,"Yelahanka, Bangalore",2000,"Pizza, Continental, Sushi, Asian, South Indian, Pasta, Desserts",4.3,https://www.zomato.com/bangalore/garden-city-beer-collective-yelahanka-bangalore/info
272,Limelight - Royal Orchid Hotel,"Royal Orchid Hotel,  Old Airport Road, Bangalore",3500,"Asian, Continental, North Indian, South Indian, Healthy Food, Beverages, Desserts",3.9,https://www.zomato.com/bangalore/limelight-royal-orchid-hotel-airport-road-bangalore/info
273,Chaayos Chai+Snacks=Relax,"Kammanahalli, Bangalore",350,"Tea, Beverages, Sandwich, Street Food",3.3,https://www.zomato.com/bangalore/chaayos-chai-snacks-relax-kammanahalli-bangalore/info
274,Cable Car,"Jayanagar, Bangalore",1200,"Oriental, Continental, Pasta, North Indian, Desserts",4.0,https://www.zomato.com/bangalore/cable-car-jayanagar/info
275,"Cha Cha Cha - Dimsum, Sushi, Stir Fry","Phoenix Marketcity Bangalore, Whitefield, Bangalore",2500,"Asian, Chinese",4.2,https://www.zomato.com/bangalore/cha-cha-cha-dimsum-sushi-stir-fry-whitefield-bangalore/info
276,You Mee,"Orion Mall, Malleshwaram, Bangalore",2200,"Asian, Sushi, Japanese, Chinese, Desserts, Beverages",4.4,https://www.zomato.com/bangalore/you-mee-malleshwaram-bangalore/info
277,Peep In Cafe,"BTM, Bangalore",300,"Cafe, Coffee, Chinese, Fast Food, Street Food, Shake, Beverages, Desserts",3.9,https://www.zomato.com/bangalore/peep-in-cafe-btm-bangalore/info
278,Isobel,"Jayanagar, Bangalore",700,"Cafe, Continental, Italian, Beverages",4.2,https://www.zomato.com/bangalore/isobel-1-jayanagar-bangalore/info
279,The Big Barbeque,"Marathahalli, Bangalore",2000,"BBQ, Pizza, North Indian, Pasta, Desserts, Beverages",4.4,https://www.zomato.com/bangalore/the-big-barbeque-marathahalli-bangalore/info
280,Public - The Rooftop Bar And Kitchen,"Bannerghatta Road, Bangalore",1200,"North Indian, Biryani, Oriental, Pizza, Continental",4.2,https://www.zomato.com/bangalore/public-the-rooftop-bar-and-kitchen-bannerghatta-road-bangalore/info
281,Sidewalk Bar & Kitchen,"Marathahalli, Bangalore",1800,"North Indian, Continental, Chinese, Fast Food, Beverages",4.3,https://www.zomato.com/bangalore/sidewalk-bar-kitchen-marathahalli-bangalore/info
282,Dishkeyaun,"Forum Rex Walk, Bangalore",2000,"Modern Indian, Biryani, Desserts",3.9,https://www.zomato.com/bangalore/dishkeyaun-1-brigade-road-bangalore/info
283,One Night In Bangkok,"UB City, Bangalore",2500,"Asian, Thai, Desserts, Beverages",3.9,https://www.zomato.com/bangalore/one-night-in-bangkok-lavelle-road-bangalore/info
284,Sly Granny,"Indiranagar, Bangalore",2500,"Continental, Italian, Salad, Sandwich, Pizza, Middle Eastern, Desserts",4.4,https://www.zomato.com/bangalore/sly-granny-indiranagar-bangalore/info
285,Chili's American Grill & Bar,"Orion Mall, Malleshwaram, Bangalore",1800,"Continental, Mexican, American, Italian, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/chilis-american-grill-bar-rajajinagar-bangalore/info
286,The 13th Floor,"Barton Centre, Bangalore",2500,"North Indian, Asian, Kebab, Chinese, Salad, Beverages, Desserts",4.3,https://www.zomato.com/bangalore/the-13th-floor-mg-road-bangalore/info
287,Spice Terrace - JW Marriott,"JW Marriott Bengaluru, Lavelle Road, Bangalore",3500,"North Indian, Mughlai, Desserts",4.2,https://www.zomato.com/bangalore/spice-terrace-jw-marriott-lavelle-road/info
288,Secret Of Bangalore,"Rajarajeshwari Nagar, Bangalore",1600,"Italian, Continental, Asian, Pizza, Pasta, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/secret-of-bangalore-rajarajeshwari-nagar-bangalore/info
289,Suku Japanese And Thai Restaurant,"HSR, Bangalore",800,"Japanese, Thai",4.7,https://www.zomato.com/bangalore/suku-japanese-and-thai-restaurant-hsr-bangalore/info
290,Bistro Claytopia,"Koramangala 1st Block, Bangalore",1100,"Cafe, American, Italian, Modern Indian, Continental, Desserts, Beverages",3.7,https://www.zomato.com/bangalore/bistro-claytopia-koramangala-1st-block/info
291,Madurai Idly Shop,"ITPL Main Road, Whitefield, Bangalore",300,South Indian,3.1,https://www.zomato.com/bangalore/madurai-idly-shop-itpl-main-road-whitefield-bangalore/info
292,Pincode 24 Bar & Bistro,"Hebbal, Bangalore",1000,"Bar Food, Continental, North Indian, Burger, Sandwich, Panini, Beverages",New,https://www.zomato.com/bangalore/pincode-24-bar-bistro-hebbal-bangalore/info
293,The Spice Studio,"Brookefield, Bangalore",550,"North Indian, Biryani, Chinese",3.9,https://www.zomato.com/bangalore/the-spice-studio-brookefield-bangalore/info
294,Spettacolare,"Indiranagar, Bangalore",1000,"Italian, Pizza, Pasta",3.9,https://www.zomato.com/bangalore/spettacolare-indiranagar-bangalore/info
295,Salt - Indian Restaurant Bar & Grill,"Nexus, Koramangala, Bangalore",1800,"North Indian, Rolls, Mughlai, Seafood, Biryani, Kebab, Desserts, Beverages",4.6,https://www.zomato.com/bangalore/salt-indian-restaurant-bar-grill-koramangala-7th-block-bangalore/info
296,Tiger Tiger Brewhouse,"Sarjapur Road, Bangalore",1600,"North Indian, Continental, Oriental, Mughlai, Andhra, European, Beverages, Desserts",4.1,https://www.zomato.com/bangalore/tiger-tiger-brewhouse-1-sarjapur-road-bangalore/info
297,Foxtrot,"Marathahalli, Bangalore",1900,"North Indian, Mughlai, Biryani, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/foxtrot-marathahalli-bangalore/info
298,Reboot The Pub,"Marathahalli, Bangalore",1200,"North Indian, Chinese, Continental, Italian, Biryani, Mughlai, Desserts",4.0,https://www.zomato.com/bangalore/reboot-the-pub-1-marathahalli-bangalore/info
299,Litti Cafe,"Sarjapur Road, Bangalore",200,"Bihari, North Indian, Street Food, Desserts",3.9,https://www.zomato.com/bangalore/litti-cafe-sarjapur-road-bangalore/info
300,Desi Dawat,"ITPL Main Road, Whitefield, Bangalore",550,"North Indian, Chinese, Street Food",3.7,https://www.zomato.com/bangalore/desi-dawat-itpl-main-road-whitefield-bangalore/info
301,Bombay Adda,"Koramangala 7th Block, Bangalore",2000,"Continental, North Indian, Asian, Pizza, Fast Food, Kebab, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/bombay-adda-koramangala-7th-block-bangalore/info
302,Enne,"Malleshwaram, Bangalore",1000,"South Indian, Andhra, Seafood, Biryani, Continental",3.9,https://www.zomato.com/bangalore/enne-malleshwaram-bangalore/info
303,Dyu Art Cafe,"Koramangala 8th Block, Bangalore",850,"Cafe, Continental, Burger, Sandwich, Pizza, Fast Food, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/dyu-art-cafe-koramangala-8th-block-bangalore/info
304,You Me And Tea,"HSR, Bangalore",400,"Chinese, Biryani, Street Food, Fast Food, Sandwich, North Indian, Tea, Beverages",4.2,https://www.zomato.com/bangalore/you-me-and-tea-1-hsr-bangalore/info
305,Uncle Peter's Pancakes & Cafe,"Domlur, Bangalore",300,"Desserts, Tea, Beverages, Fast Food",4.1,https://www.zomato.com/bangalore/uncle-peters-pancakes-cafe-domlur-bangalore/info
306,Skyye,"UB City, Bangalore",2200,"Continental, Asian, Thai, Seafood, Italian, Beverages, Desserts",4.3,https://www.zomato.com/bangalore/skyye-lavelle-road/info
307,Fenny's Lounge And Kitchen,"Koramangala 7th Block, Bangalore",1900,"Mediterranean, Continental, Italian, Desserts, Beverages",4.5,https://www.zomato.com/bangalore/fennys-lounge-and-kitchen-koramangala-7th-block/info
308,Big Pitcher,"Sarjapur Road, Bangalore",1800,"North Indian, Continental, Mughlai, Chinese, Italian, Biryani, Desserts, Beverages",4.5,https://www.zomato.com/bangalore/big-pitcher-sarjapur-road-bangalore/info
309,Altitude Kitchen & Bar,"Basaveshwara Nagar, Bangalore",1800,"Chinese, Seafood, North Indian, Kebab, Pizza, Finger Food, Biryani, Desserts",4.2,https://www.zomato.com/bangalore/altitude-kitchen-bar-basaveshwara-nagar-bangalore/info
310,Aromas Of Biryani,"Jayanagar, Bangalore",1000,"Biryani, North Indian, South Indian",4.3,https://www.zomato.com/bangalore/aromas-of-biryani-1-jayanagar-bangalore/info
311,La Casa Brewery And Kitchen,"Sarjapur Road, Bangalore",2000,"Continental, North Indian, Mughlai, Chinese, Finger Food, Steak, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/la-casa-brewery-and-kitchen-sarjapur-road-bangalore/info
312,Barbeque Nation,"Electronic City, Bangalore",1900,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",4.3,https://www.zomato.com/bangalore/barbeque-nation-electronic-city/info
313,IGNYT -The Beer Station,"Kumaraswamy Layout, Bangalore",2000,Continental,New,https://www.zomato.com/bangalore/ignyt-the-beer-station-kumaraswamy-layout-bangalore/info
314,California Burrito,"HSR, Bangalore",450,"Mexican, Healthy Food, American, Salad, Fast Food, Beverages",4.4,https://www.zomato.com/bangalore/california-burrito-hsr/info
315,Windmills,"Craftworks, Bangalore",3500,"Continental, North Indian, Mughlai, Kebab, Desserts",4.7,https://www.zomato.com/bangalore/windmills-1-whitefield-bangalore/info
316,Barista Coffee,"Embassy Manyata Business Park,  Nagawara , Bangalore",600,"Cafe, Fast Food, Beverages, Desserts",3.7,https://www.zomato.com/bangalore/barista-coffee-nagawara-bangalore/info
317,Jus' Trufs,"Jakkur, Bangalore",1200,"Cafe, Italian, Fast Food, Pizza, Desserts, Beverages",3.9,https://www.zomato.com/bangalore/jus-trufs-jakkur-bangalore/info
318,Khmer Kitchen,"JP Nagar, Bangalore",2500,"Chinese, Asian, Thai, Japanese",4.6,https://www.zomato.com/bangalore/khmer-kitchen-jp-nagar-bangalore/info
319,Zyng - Pan Asian Dining,"Ulsoor, Bangalore",1200,"Asian, Japanese, Korean, Chinese, Thai, Seafood, Desserts",4.3,https://www.zomato.com/bangalore/zyng-pan-asian-dining-ulsoor-bangalore/info
320,Café Siri,"Brookefield, Bangalore",250,"North Indian, South Indian, Sandwich, Biryani, Desserts, Beverages, Chinese",4.2,https://www.zomato.com/bangalore/café-siri-brookefield-bangalore/info
321,HoverPulse Cafe,"Koramangala 4th Block, Bangalore",300,"Cafe, Coffee, Street Food, Bakery, Beverages",3.8,https://www.zomato.com/bangalore/hoverpulse-cafe-2-koramangala-4th-block-bangalore/info
322,Sector 144,"Electronic City, Bangalore",1100,"North Indian, Chinese, Kebab, Mughlai, Italian, Fast Food, Desserts, Bar Food",4.4,https://www.zomato.com/bangalore/sector-144-electronic-city-bangalore/info
323,Karim's Delhi 6 - Since 1913,"St. Marks Road, Bangalore",950,"Mughlai, North Indian, Rolls",3.6,https://www.zomato.com/bangalore/karims-delhi-6-since-1913-st-marks-road-bangalore/info
324,Sri Manjunatha Cafe,"BTM, Bangalore",200,"South Indian, Chinese, Street Food, Beverages",3.9,https://www.zomato.com/bangalore/sri-manjunatha-cafe-btm-bangalore/info
325,Lapis - The Oberoi,"The Oberoi, MG Road, Bangalore",4000,"North Indian, South Indian, Mediterranean, European, American, Italian",4.1,https://www.zomato.com/bangalore/lapis-the-oberoi-mg-road-bangalore/info
326,Aramana Oru Nadan Oonu Kada,"Electronic City, Bangalore",300,"South Indian, Kerala, Seafood",New,https://www.zomato.com/bangalore/aramana-oru-nadan-oonu-kada-1-electronic-city-bangalore/info
327,Blink by Zoca,"Whitefield, Bangalore",1500,"North Indian, Chinese, Thai, Continental",4.0,https://www.zomato.com/bangalore/blink-by-zoca-whitefield-bangalore/info
328,One Atria Cafe - Radisson Blu Atria,"Radisson Blu Atria, Bangalore",2500,"South Indian, North Indian, Chinese, Biryani",3.8,https://www.zomato.com/bangalore/one-atria-cafe-radisson-blu-atria-race-course-road-bangalore/info
329,Pinxx - Royal Orchid Central,"Royal Orchid Central, MG Road, Bangalore",1900,"Continental, North Indian, Chinese, Sandwich, Fast Food, Desserts, Beverages",3.7,https://www.zomato.com/bangalore/pinxx-royal-orchid-central-mg-road-bangalore/info
330,Great Room - Holiday Inn Express & Suites,"Hoskote, Bangalore",2000,"North Indian, Chinese, Continental, Biryani, Fast Food, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/great-room-holiday-inn-express-suites-hoskote-bangalore/info
331,Rajwadi,"Brookefield, Bangalore",600,"North Indian, Rajasthani, Street Food, Biryani, Mithai, Desserts, Shake, Beverages",3.8,https://www.zomato.com/bangalore/rajwadi-brookefield-bangalore/info
332,Isar Ji Cafe,"Bommanahalli, Bangalore",200,"North Indian, Chinese, Street Food, Desserts, Beverages",3.7,https://www.zomato.com/bangalore/isar-ji-cafe-bommanahalli-bangalore/info
333,The Coffee Brewery,"Indiranagar, Bangalore",800,"Cafe, Coffee, Sandwich, Fast Food, Bakery, Ice Cream, Beverages",New,https://www.zomato.com/bangalore/the-coffee-brewery-indiranagar-bangalore/info
334,CUR8 - Four Seasons Hotel,"Four Seasons Hotel, RT Nagar, Bangalore",4000,"European, Italian, Pizza, North Indian, Salad",4.4,https://www.zomato.com/bangalore/cur8-four-seasons-hotel-rt-nagar-bangalore/info
335,HumbleBean Coffee,"Indiranagar, Bangalore",650,"Cafe, Coffee, Bakery, Healthy Food, Desserts, Beverages",3.8,https://www.zomato.com/bangalore/humblebean-coffee-indiranagar-bangalore/info
336,Monk's Bar & Social,"BTM, Bangalore",1000,"Bar Food, South Indian, Asian, European, Italian, North Indian, Desserts, Beverages",4.5,https://www.zomato.com/bangalore/monks-bar-social-1-btm-bangalore/info
337,Paragon Restaurant - Since 1939,"1 Sobha, Bangalore",1000,"Kerala, Oriental, South Indian, Chinese, Seafood, Desserts, Beverages",4.0,https://www.zomato.com/bangalore/paragon-restaurant-since-1939-st-marks-road-bangalore/info
338,Haldiram's Sweets And Namkeen,"Basaveshwara Nagar, Bangalore",400,"Mithai, Bakery, Desserts, North Indian, Street Food",3.8,https://www.zomato.com/bangalore/haldirams-sweets-and-namkeen-basaveshwara-nagar-bangalore/info
339,Pizza Hut,"RT Nagar, Bangalore",600,"Pizza, Italian, Pasta, Fast Food, Desserts, Beverages",4.0,https://www.zomato.com/bangalore/pizza-hut-1-rt-nagar/info
340,District 6 Pub Brewery & Kitchen,"Malleshwaram, Bangalore",2500,"North Indian, Pizza, Italian, Bar Food, Continental, Asian, Desserts",4.5,https://www.zomato.com/bangalore/district-6-pub-brewery-kitchen-malleshwaram-bangalore/info
341,Shao,"Radisson Blu, Marathahalli, Bangalore",3500,"Thai, Japanese, Chinese, Asian, Sichuan, Beverages",4.5,https://www.zomato.com/bangalore/shao-marathahalli-bangalore/info
342,Arbor Brewing Company,"Brigade Road, Bangalore",1800,"American, Continental, Fast Food, Beverages",4.6,https://www.zomato.com/ArborBrewIndia/info
343,Cafe 1617,"Kalyan Nagar, Bangalore",1000,"Cafe, Coffee, Continental, Chinese, Fast Food, Desserts, Tea, Beverages",3.6,https://www.zomato.com/bangalore/cafe-1617-kalyan-nagar-bangalore/info
344,Peepai,"Hebbal, Bangalore",2500,"North Indian, Pizza, Chinese, European, Bar Food, Biryani, Desserts, Beverages",4.5,https://www.zomato.com/bangalore/peepai-3-hebbal-bangalore/info
345,We: Neighborhood,"Brigade Road, Bangalore",1400,"European, American, North Indian, Burger, Pizza, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/we-neighborhood-brigade-road-bangalore/info
346,Down Town Diner,"Brigade Road, Bangalore",750,"Cafe, Coffee, Fast Food, Pizza, Burger, Sandwich, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/down-town-diner-brigade-road-bangalore/info
347,Aroma's Hyderabad House,"HSR, Bangalore",950,"Hyderabadi, Biryani, North Indian, Mughlai, Chinese, Seafood, Kebab, Beverages",4.1,https://www.zomato.com/bangalore/aromas-hyderabad-house-hsr-bangalore/info
348,The Spiceberry,"Bellandur, Bangalore",1000,"North Indian, Pasta, Pizza, Continental, Salad, Sandwich, Kebab, Desserts",4.4,https://www.zomato.com/bangalore/the-spiceberry-bellandur-bangalore/info
349,Societe Rangoon,"JP Nagar, Bangalore",1000,"Burmese, Asian",New,https://www.zomato.com/bangalore/societe-rangoon-jp-nagar-bangalore/info
350,Devaras Restaurant,"Rajajinagar, Bangalore",150,"South Indian, Street Food",New,https://www.zomato.com/bangalore/devaras-restaurant-rajajinagar-bangalore/info
351,The Aviary,"JW Marriott Bengaluru Prestige Golfshire Resort & Spa, International Airport, Bangalore",3000,"South Indian, North Indian",3.9,https://www.zomato.com/bangalore/the-aviary-international-airport-bangalore/info
352,Cafe Morish,"Richmond Road, Bangalore",800,"Continental, Asian, Pizza, Wraps, Sandwich, Burger, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/cafe-morish-richmond-road-bangalore/info
353,Babylonia - Global Food & Cocktails,"Koramangala 7th Block, Bangalore",1500,"Continental, North Indian, Asian, Italian, Mughlai, Mediterranean, Bar Food, Desserts",4.5,https://www.zomato.com/bangalore/babylonia-global-food-cocktails-koramangala-7th-block-bangalore/info
354,Seta,"Hilton Bangalore Embassy GolfLinks, Domlur, Bangalore",2500,"Asian, Mediterranean, Chinese, Desserts",4.4,https://www.zomato.com/bangalore/seta-domlur-bangalore/info
355,Lord Of The Drinks,"Phoenix Marketcity Bangalore, Whitefield, Bangalore",1700,"Finger Food, Continental, European, North Indian, Italian, Asian, Sichuan",4.0,https://www.zomato.com/bangalore/lord-of-the-drinks-1-whitefield-bangalore/info
356,Rooftop at Raw,"Koramangala 5th Block, Bangalore",1200,"Continental, Italian, Mexican, Pizza, Pasta, Beverages",4.0,https://www.zomato.com/bangalore/rooftop-at-raw-koramangala-5th-block-bangalore/info
357,Zed The Baker,"Church Street, Bangalore",800,"Bakery, Burger, Pizza, Desserts",4.0,https://www.zomato.com/bangalore/zed-the-baker-church-street-bangalore/info
358,Blue Tokai Coffee Roasters,"Koramangala 5th Block, Bangalore",600,"Cafe, Coffee, Healthy Food, Beverages, Desserts, American, Sandwich",3.9,https://www.zomato.com/bangalore/blue-tokai-coffee-roasters-koramangala-5th-block-bangalore/info
359,Toscano,"Varthur Main Road, Whitefield, Bangalore",1800,"Italian, Pizza, Pasta, Continental, Desserts, Steak, Seafood, Beverages",4.6,https://www.zomato.com/bangalore/toscano-varthur-main-road-whitefield-bangalore/info
360,Hakuna Matata,"JP Nagar, Bangalore",1700,"North Indian, Asian, Seafood, Chinese, Biryani, Fast Food, Desserts, Beverages",4.4,https://www.zomato.com/bangalore/hakuna-matata-jp-nagar/info
361,Thelagram,"JP Nagar, Bangalore",800,"North Indian, Street Food, Desserts, Beverages",New,https://www.zomato.com/bangalore/thelagram-jp-nagar-bangalore/info
362,Conçu,"Indiranagar, Bangalore",500,"Cafe, Fast Food",4.3,https://www.zomato.com/bangalore/conçu-indiranagar-bangalore/info
363,Sherlock's - Lounge & Kitchen,"Yelahanka, Bangalore",2500,"Continental, North Indian, Finger Food, Chinese, Fast Food, South Indian, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/sherlocks-lounge-kitchen-yelahanka-bangalore/info
364,Öz by Kebapci,"UB City, Bangalore",1800,"Turkish, Mediterranean, Middle Eastern",4.6,https://www.zomato.com/bangalore/öz-by-kebapci-lavelle-road-bangalore/info
365,Blurred,"Koramangala 5th Block, Bangalore",1000,"North Indian, South Indian, Continental, Chinese",4.1,https://www.zomato.com/bangalore/blurred-koramangala-5th-block-bangalore/info
